no,EIP,EIP_BB3,EIP_BB5,EIP_BB9,EIP_BB11,pips,pips_1SC,pips_2SC,pips_8SC,pips_4PQ,pips_5PQ,pips_6PQ,pips_8PQ,pips_9PQ,pips_10PQ,tap,mana
1.0,1.048784141409098,1.0472528752850319,1.0492252126296167,1.048784141409098,1.048784141409098,1.0480517967410663,1.0482931375975766,1.0489838717731064,1.048276493400576,1.0480517967410663,1.0493417220086219,1.0488423960986004,1.0481183735290691,1.0478687105740583,1.0480517967410663,1.026580782610143,1.0448061783259268
1.0,1.1266854579702683,1.1247950347593945,1.1266854579702683,1.1266854579702683,1.1266854579702683,1.1154513300719582,1.1090279565812475,1.1139132438036128,1.1159459569335846,1.1154513300719582,1.115336142994593,1.1152887130215603,1.1149431517894652,1.116013714037917,1.1154513300719582,1.08828073123467,1.098545932541027
1.0,1.0791410222103293,1.0796845731870486,1.0791410222103293,1.0791410222103293,1.0791410222103293,1.075620484345732,1.0757041075729195,1.076414905004014,1.0769250066898581,1.075620484345732,1.07637309339042,1.076448354294889,1.0771257024351084,1.0771591517259835,1.075620484345732,1.0277043751672463,1.0672163500133796
1.0,1.11869015462206,1.1147685156102771,1.11869015462206,1.11869015462206,1.11869015462206,1.1225669236222662,1.1190491147146715,1.1226656376477344,1.1221451455134475,1.1225669236222662,1.12206437949261,1.1228092216847791,1.1214272253282243,1.1217323414069442,1.1225669236222662,1.012025163102492,1.0969102510028448
1.0,1.113834422657952,1.1134684776688453,1.113834422657952,1.113834422657952,1.113834422657952,1.1004561546840959,1.097094566993464,1.099732775054466,1.1003880718954246,1.1004561546840959,1.1013667619825707,1.1003880718954246,1.1000051062091503,1.0993498093681915,1.1004561546840959,1.0516493055555556,1.090184163943355
1.0,1.1213991384154336,1.1199475557220453,1.1213991384154336,1.1213991384154336,1.1213991384154336,1.1204064431541485,1.1172223262783292,1.1190297808578384,1.1197602547293501,1.1204064431541485,1.11995692077168,1.1197040644315412,1.1202566023599925,1.1196572391833677,1.1204064431541485,1.0892301929200223,1.1121371043266528
1.0,1.1346512558876387,1.131533894912569,1.1346512558876387,1.1346512558876387,1.1346512558876387,1.132726328072432,1.1292682719088298,1.132419702402753,1.1326241195158722,1.132726328072432,1.1327689149709983,1.132820019249278,1.1324452545418928,1.1322152852896334,1.132726328072432,1.0977369322101749,1.1211086221434838
1.0,1.0687033405580213,1.0675164275639042,1.068754945470809,1.0687033405580213,1.0687033405580213,1.0646523549041869,1.064153507413906,1.0642739188770771,1.0639814910379468,1.0646523549041869,1.0645577458974096,1.063972890219149,1.0639126844875633,1.0642051123266936,1.0646523549041869,1.0131678535796609,1.0612034265662091
1.0,1.1841121495327103,1.1504591629418937,1.1759122308004877,1.1841121495327103,1.1841121495327103,1.1728484355952866,1.1692970337261277,1.1705241771637547,1.1729865908167412,1.1728484355952866,1.173604225924421,1.172442096708655,1.1739211702559935,1.1715318976026006,1.1728484355952866,1.1192279561154004,1.1678342137342543
1.0,1.1196853572896313,1.1203703036114696,1.1196853572896313,1.1196853572896313,1.1196853572896313,1.1200746951988867,1.1201684246955592,1.1202477342696668,1.119396958838331,1.1200746951988867,1.120190054579407,1.1200674852376042,1.1200458553537567,1.1199593358183666,1.1200746951988867,1.119894446166824,1.120262154192232
1.0,1.2829859802746573,1.2205086192016998,1.2693236157131778,1.2829859802746573,1.2829859802746573,1.2402242378126602,1.231278063153186,1.2366020094858623,1.2338184850333902,1.2402242378126602,1.2371733005306929,1.2348152055796902,1.2338549504192304,1.2317034926546557,1.2402242378126602,1.127292153378275,1.2365533889714087
1.0,1.2336974625476695,1.1876687016674856,1.225897041008229,1.2336974625476695,1.2336974625476695,1.2121887935039308,1.2088860872565728,1.2119901232502452,1.2118586722553255,1.2121887935039308,1.2102185223414408,1.21277285417454,1.2113074743334464,1.2114254814766128,1.2121887935039308,1.1613889590126836,1.2077941477419558
1.0,1.2536568514653423,1.197957077525251,1.2421529460057932,1.2536568514653423,1.2536568514653423,1.2299856038574724,1.2204532183183687,1.2281181524372264,1.229436353439753,1.2299856038574724,1.2279504865202384,1.2276686343321983,1.2298193833363205,1.2250278961396368,1.2299856038574724,1.175832403462012,1.2214187427368859
1.0,1.3260244110546908,1.252832868559061,1.3154369225006244,1.3260244110546908,1.3260244110546908,1.2972261820527762,1.2984423124947972,1.2990315179388996,1.3002255369183384,1.2972261820527762,1.300726296512112,1.301571734787314,1.2969413343877467,1.2982459106800968,1.2972261820527762,1.230907402397403,1.2929326562890204
1.0,1.4342449331161404,1.3262293472854385,1.413907916547648,1.4342449331161404,1.4342449331161404,1.3885528183421363,1.3787813450885111,1.3884645883353315,1.3880675533047102,1.3885528183421363,1.3891373421372175,1.3845714392850723,1.3825531778794138,1.3888175083625502,1.3885528183421363,1.2652293263308119,1.3809429802552273
1.0,1.5198674673666488,1.3869674082543277,1.497519335780677,1.5198674673666488,1.5198674673666488,1.4779809306029998,1.4588855976666304,1.4704270892207008,1.466914931210333,1.4779809306029998,1.4670878374508434,1.4701136966597756,1.4742850597120893,1.4690114193765216,1.4779809306029998,1.3550337869600597,1.467228323771258
1.0,1.5484130902322626,1.4096911299887076,1.5255329894508665,1.5484130902322626,1.5484130902322626,1.5012001838579527,1.4821447824631293,1.4998609716098352,1.4965469887585616,1.5012001838579527,1.498567156387078,1.498453663823678,1.4999858134295752,1.4930627670621883,1.5012001838579527,1.362852749073617,1.493153561112908
1.0,1.2731667397833497,1.2729305166537306,1.2731667397833497,1.2731667397833497,1.2731667397833497,1.273672932203962,1.266560928694361,1.2723230857489962,1.2734029629129688,1.273672932203962,1.2733860898322817,1.2737657341477406,1.2738247899301456,1.2731920494043802,1.273672932203962,1.26748894813215,1.2652195187797388
1.0,1.2998893215822915,1.2999139167862268,1.2998893215822915,1.2998893215822915,1.2998893215822915,1.2987415453986475,1.2924779667964748,1.2983152285304367,1.297757737241238,1.2987415453986475,1.298823529411765,1.298495593359295,1.2986513629842182,1.2986431645829064,1.2987415453986475,1.2969378971100636,1.2957901209264195
1.0,1.4206233874076928,1.4184584358966754,1.4206233874076928,1.4206233874076928,1.4206233874076928,1.388119457872416,1.3704835058374605,1.3836214992536353,1.3912334292238795,1.388119457872416,1.3921231353242978,1.3920638215842698,1.3893947032830154,1.384343149757308,1.388119457872416,1.3261365995432841,1.3544687960299335
