no,EIP,EIP_BB3,EIP_BB5,EIP_BB9,EIP_BB11,pips,pips_1SC,pips_2SC,pips_8SC,pips_4PQ,pips_5PQ,pips_6PQ,pips_8PQ,pips_9PQ,pips_10PQ,tap,mana
0.0,72.93026321813508,79.66388321804492,73.83266684000718,72.93026321813508,72.93026321813508,69.07696268038286,80.52988523874711,75.9944256982252,67.90579420367824,69.07696268038286,73.17264874599424,70.94113381319916,68.09520437916483,67.11354767501105,69.07696268038286,31.807255787483797,85.92922212466144
0.0,68.02091157834049,67.28039227733142,68.02091157834049,68.02091157834049,68.02091157834049,54.480750439178415,63.69562750514704,59.80102790491245,52.304655904430916,54.480750439178415,57.610989000673804,55.76035220294809,53.073775370845254,52.18130557932379,54.480750439178415,25.23467346641849,71.70470881946767
0.0,60.32772091679238,60.99773189619491,60.32772091679238,60.32772091679238,60.32772091679238,49.07029422220566,58.94332910025788,54.48998908785031,47.01900836135184,49.07029422220566,52.450596693998605,50.50445245902338,47.736055527909215,46.7371400264465,49.07029422220566,22.090221854230762,68.49011084856414
0.0,65.18279572424231,65.74597222742048,65.18279572424231,65.18279572424231,65.18279572424231,39.2359702642507,49.546231808156165,44.02570561780309,39.038313770732096,39.2359702642507,43.089248253110036,41.006915608128054,37.78562019306601,36.52349317418711,39.2359702642507,12.064490911180604,61.060238639072736
0.0,58.537562432287416,59.76377553955112,58.537562432287416,58.537562432287416,58.537562432287416,49.355624429376064,58.63965648602267,53.98376473097895,47.68373865675311,49.355624429376064,52.061869437049914,50.631947363918506,48.01387935525451,46.54946329470541,49.355624429376064,22.226822188764707,68.50051660415497
0.0,89.40844293467397,90.13354578432663,89.40844293467397,89.40844293467397,89.40844293467397,72.41305598691926,80.92840126194069,79.39466473396877,70.74136606793256,72.41305598691926,76.9835374484941,74.63736813943564,70.98517717869373,70.50486685781908,72.41305598691926,37.8585882130239,92.58194630296886
0.0,82.98202784657788,83.68222195214359,82.98202784657788,82.98202784657788,82.98202784657788,66.04322078858087,81.23604691654462,75.60391575426951,64.02222640434087,66.04322078858087,70.44844781237974,67.72505270772514,64.76183396622746,63.772661994721055,66.04322078858087,25.054617890963527,84.35319694274213
0.0,76.77900087062449,78.56059129823342,76.64514114864345,76.77900087062449,76.77900087062449,56.11686019056643,68.46985300292448,62.65058020602427,53.955218414213014,56.11686019056643,60.475665634020444,58.18856698438356,54.16333550774388,54.58567877966954,56.11686019056643,20.962669564623877,70.40043025386986
0.0,77.56315319772585,81.04330498890809,77.53203008556284,77.56315319772585,77.56315319772585,59.84174841077009,69.52813306633524,65.4579988016063,59.0553563027855,59.84174841077009,64.18816071726805,61.11063592407461,57.52722158559019,56.16055959304978,59.84174841077009,26.051725740801878,80.96012969330614
0.0,67.14481600272872,80.07668435577772,67.14481600272872,67.14481600272872,67.14481600272872,85.72634288927132,92.91680388481801,90.58986644697691,81.25108924522775,85.72634288927132,88.24771277521877,87.43928603947292,84.25915269601599,83.25140235649734,85.72634288927132,51.555012379962605,88.92667302852374
0.0,69.90829724329987,71.84514187207338,69.21068725274043,69.90829724329987,69.90829724329987,46.894575629978604,55.525069755876736,51.08582609180331,46.95052052570875,46.894575629978604,50.95838723980678,48.948751234946386,45.97796400184518,44.884360927548066,46.894575629978604,16.047233877315136,66.31174802285024
0.0,72.16033125803125,75.43101669193611,71.66938069887458,72.16033125803125,72.16033125803125,50.002278470028884,58.463983623092396,53.93699725626253,49.534795140548276,50.002278470028884,53.56172141074871,51.51841288401315,48.66164174569122,47.76848455213938,50.002278470028884,18.13036937392008,68.5820153956327
0.0,74.67475145127237,77.51350770028552,73.53204726070672,74.67475145127237,74.67475145127237,50.73667699594966,60.69795598453478,55.92320650728768,50.11587339308476,50.73667699594966,54.805052534409015,52.45589537448117,49.32115332944668,48.36361956600125,50.73667699594966,19.823732390768782,71.16353249123034
0.0,74.9478597735104,78.43355523567384,74.67521866449682,74.9478597735104,74.9478597735104,51.06217841532739,61.13877737307738,56.17373386654174,50.42463421325157,51.06217841532739,55.158429704620325,52.57202166822573,49.58780253328898,48.63124015914259,51.06217841532739,20.10296589766668,71.63152245910831
0.0,72.5527943547762,76.19525954055824,72.31179178932837,72.5527943547762,72.5527943547762,48.63763652115385,58.42613689273628,53.37966776398516,48.24523165296277,48.63763652115385,52.525959815940084,50.49703788314712,47.24346623944234,46.3373872580822,48.63763652115385,19.21723840043563,68.65348962769036
0.0,75.64640273848904,78.75871947058153,74.382476141922,75.64640273848904,75.64640273848904,51.362584551744625,61.75953044369621,56.51884117900384,50.7254240734783,51.362584551744625,55.30560394967061,53.162818301570944,49.93687971925024,49.102588801089006,51.362584551744625,19.787229282294486,71.74408577939123
0.0,73.25375466032665,77.58626987669199,73.97414874288692,73.25375466032665,73.25375466032665,50.322059642530284,59.99705506660844,55.23442650814739,49.80413173142933,50.322059642530284,54.25912488068524,52.04036162074257,49.027474108602604,48.13764360294161,50.322059642530284,19.454195495943814,70.78277747146058
