no,EIP,EIP_BB3,EIP_BB5,EIP_BB9,EIP_BB11,pips,pips_1SC,pips_2SC,pips_8SC,pips_4PQ,pips_5PQ,pips_6PQ,pips_8PQ,pips_9PQ,pips_10PQ,tap,mana
2996774.0,33829.0,56287.0,33829.0,33829.0,33829.0,502824.0,814748.0,611537.0,498205.0,502824.0,531019.0,523309.0,496376.0,494934.0,502824.0,350670.0,805572.0
3166016.0,56379.0,74563.0,56379.0,56379.0,56379.0,508353.0,883041.0,668442.0,514863.0,508353.0,569386.0,535855.0,510113.0,510384.0,508353.0,342979.0,862000.0
3299369.0,25252.0,50960.0,25252.0,25252.0,25252.0,465926.0,857664.0,598728.0,444590.0,465926.0,503500.0,482495.0,463944.0,463145.0,465926.0,108775.0,665434.0
3296275.0,24457.0,34593.0,24457.0,24457.0,24457.0,474981.0,904932.0,625227.0,451098.0,474981.0,509416.0,485448.0,467222.0,472131.0,474981.0,124962.0,658667.0
3336080.0,21179.0,36463.0,21179.0,21179.0,21179.0,464430.0,832293.0,595832.0,441045.0,464430.0,502699.0,479200.0,464571.0,458910.0,464430.0,106770.0,650689.0
3820792.0,22555.0,45710.0,22555.0,22555.0,22555.0,382114.0,913574.0,593949.0,338725.0,382114.0,449842.0,405003.0,376036.0,368750.0,382114.0,10270.0,535548.0
4033919.0,15732.0,40351.0,15732.0,15732.0,15732.0,467102.0,1070468.0,702909.0,450518.0,467102.0,532565.0,494240.0,458075.0,444233.0,467102.0,52794.0,670893.0
4040254.0,25179.0,46217.0,25179.0,25179.0,25179.0,465244.0,1058044.0,701161.0,446555.0,465244.0,527767.0,486818.0,452267.0,441809.0,465244.0,44557.0,657121.0
4087300.0,37269.0,51292.0,37269.0,37269.0,37269.0,465048.0,1055919.0,727000.0,425939.0,465048.0,533120.0,490449.0,455999.0,452615.0,465048.0,18143.0,677821.0
220057.0,40748.0,40699.0,40748.0,40748.0,40748.0,75212.0,100627.0,83373.0,73510.0,75212.0,76458.0,75171.0,74358.0,74141.0,75212.0,397577.0,100086.0
543520.0,57170.0,61070.0,57170.0,57170.0,57170.0,155437.0,199032.0,168680.0,159952.0,155437.0,162813.0,157374.0,152104.0,152398.0,155437.0,132876.0,218986.0
677377.0,64649.0,69712.0,64649.0,64649.0,64649.0,192026.0,242637.0,209057.0,198287.0,192026.0,204604.0,196873.0,189711.0,187612.0,192026.0,144578.0,280883.0
324489.0,83543.0,68851.0,83543.0,83543.0,83543.0,94767.0,137747.0,113904.0,94206.0,94767.0,107634.0,100653.0,91744.0,90818.0,94767.0,58508.0,147517.0
423479.0,119416.0,104524.0,119416.0,119416.0,119416.0,128136.0,189497.0,156193.0,127197.0,128136.0,145083.0,134422.0,124491.0,121928.0,128136.0,66389.0,197783.0
307549.0,41654.0,40840.0,42116.0,41654.0,41654.0,106684.0,126170.0,109753.0,106510.0,106684.0,105472.0,105022.0,107559.0,108332.0,106684.0,97776.0,119644.0
260110.0,4002.0,35545.0,12285.0,4002.0,4002.0,13386.0,36772.0,19724.0,13133.0,13386.0,15779.0,14141.0,13328.0,12864.0,13386.0,3477.0,35921.0
