no,EIP,EIP_BB3,EIP_BB5,EIP_BB9,EIP_BB11,pips,pips_1SC,pips_2SC,pips_8SC,pips_4PQ,pips_5PQ,pips_6PQ,pips_8PQ,pips_9PQ,pips_10PQ,tap,mana
15.3368,15.3368,15.3368,15.3368,15.3368,15.3368,15.3368,15.3368,15.3368,15.3368,15.3368,15.3368,15.3368,15.3368,15.3368,15.3368,15.3368,15.3368
14.823,14.823,14.823,14.823,14.823,14.823,14.823,14.823,14.823,14.823,14.823,14.823,14.823,14.823,14.823,14.823,14.823,14.823
14.1551,14.1551,14.1551,14.1551,14.1551,14.1551,14.1551,14.1551,14.1551,14.1551,14.1551,14.1551,14.1551,14.1551,14.1551,14.1551,14.1551,14.1551
13.7842,13.7842,13.7842,13.7842,13.7842,13.7842,13.7842,13.7842,13.7842,13.7842,13.7842,13.7842,13.7842,13.7842,13.7842,13.7842,13.7842,13.7842
14.6434,14.6434,14.6434,14.6434,14.6434,14.6434,14.6434,14.6434,14.6434,14.6434,14.6434,14.6434,14.6434,14.6434,14.6434,14.6434,14.6434,14.6434
13.5156,13.5156,13.5156,13.5156,13.5156,13.5156,13.5156,13.5156,13.5156,13.5156,13.5156,13.5156,13.5156,13.5156,13.5156,13.5156,13.5156,13.5156
13.6189,13.6189,13.6189,13.6189,13.6189,13.6189,13.6189,13.6189,13.6189,13.6189,13.6189,13.6189,13.6189,13.6189,13.6189,13.6189,13.6189,13.6189
13.7035,13.7035,13.7035,13.7035,13.7035,13.7035,13.7035,13.7035,13.7035,13.7035,13.7035,13.7035,13.7035,13.7035,13.7035,13.7035,13.7035,13.7035
13.4477,13.4477,13.4477,13.4477,13.4477,13.4477,13.4477,13.4477,13.4477,13.4477,13.4477,13.4477,13.4477,13.4477,13.4477,13.4477,13.4477,13.4477
22.9531,22.9531,22.9531,22.9531,22.9531,22.9531,22.9531,22.9531,22.9531,22.9531,22.9531,22.9531,22.9531,22.9531,22.9531,22.9531,22.9531,22.9531
57.6783,57.6783,57.6783,57.6783,57.6783,57.6783,57.6783,57.6783,57.6783,57.6783,57.6783,57.6783,57.6783,57.6783,57.6783,57.6783,57.6783,57.6783
50.9021,50.9021,50.9021,50.9021,50.9021,50.9021,50.9021,50.9021,50.9021,50.9021,50.9021,50.9021,50.9021,50.9021,50.9021,50.9021,50.9021,50.9021
14.9292,14.9292,14.9292,14.9292,14.9292,14.9292,14.9292,14.9292,14.9292,14.9292,14.9292,14.9292,14.9292,14.9292,14.9292,14.9292,14.9292,14.9292
14.1689,14.1689,14.1689,14.1689,14.1689,14.1689,14.1689,14.1689,14.1689,14.1689,14.1689,14.1689,14.1689,14.1689,14.1689,14.1689,14.1689,14.1689
17.0252,17.0252,17.0252,17.0252,17.0252,17.0252,17.0252,17.0252,17.0252,17.0252,17.0252,17.0252,17.0252,17.0252,17.0252,17.0252,17.0252,17.0252
14.4694,14.4694,14.4694,14.4694,14.4694,14.4694,14.4694,14.4694,14.4694,14.4694,14.4694,14.4694,14.4694,14.4694,14.4694,14.4694,14.4694,14.4694
