no,EIP,EIP_BB3,EIP_BB5,EIP_BB9,EIP_BB11,EIP_CB3_1,EIP_CB3_2
0.9534850504665777,1.0,0.9985399606424172,1.0004205548149558,1.0,1.0,0.9992303053386655,1.0006586047102137
0.8875591611890572,1.0,0.9983221375606646,1.0,1.0,1.0,0.9982619991219788,0.9985326220960652
0.9266629471204513,1.0,1.000503688549997,1.0,1.0,1.0,0.9992948360300044,1.0004261980038434
0.8939025662005952,1.0,0.9964944368236549,1.0,1.0,1.0,0.9961174082898144,0.9978421132850416
0.897799511002445,1.0,0.9996714547677262,1.0,1.0,1.0,0.9986705378973106,0.9992283007334963
0.8917431499127298,1.0,0.9987055610766392,1.0,1.0,1.0,0.9996910049021654,1.0002839414412534
0.8813280687004563,1.0,0.9972525822723998,1.0,1.0,1.0,0.9993919649291376,0.9993093922651933
0.935713365954159,1.0,0.9988893896471799,1.0000482874066443,1.0,1.0,0.999774658768993,0.9997505150656708
0.8445146014206787,1.0,0.971579561442641,0.9930750489001751,1.0,1.0,0.9965615455886895,0.9990528808208367
0.8931080445855362,1.0,1.000611731070143,1.0,1.0,1.0,1.0000193178232677,1.0004056742886211
0.7794317438963156,1.0,0.951303161504865,0.9893511193640989,1.0,1.0,0.9957082358291254,0.9974514689581341
0.8105714977600195,1.0,0.9626903983533115,0.9936772006296163,1.0,1.0,0.999700932316261,0.9994127618355734
0.7976664418426347,1.0,0.9555701595097683,0.9908237206647873,1.0,1.0,0.9987974796649546,1.000092235500291
0.754133929709953,1.0,0.9448037744362378,0.9920156156509627,1.0,1.0,1.0011770591177942,1.0018440592845441
0.6972309798071452,1.0,0.9246881872568169,0.9858204020115959,1.0,1.0,0.9972163695922981,0.9989465266136599
0.6579521053454871,1.0,0.9125581263065087,0.985295999772472,1.0,1.0,1.0005972611310987,0.9965941895024245
0.6458224916259262,1.0,0.9104102379922746,0.9852235163047064,1.0,1.0,0.9968409402417303,0.9998827263198786
0.7854430757201264,1.0,0.9998144601785158,1.0,1.0,1.0,0.9999469886224331,0.9996421732014233
0.7692962649948912,1.0,1.0000189209985242,1.0,1.0,1.0,0.9998612460108229,1.0000441489965564
0.7039163291720597,1.0,0.9984760552795291,1.0,1.0,1.0,0.9984760552795291,0.9997981991009423
0.9118044954618877,1.0,1.0041299426632726,1.0,1.0,1.0,1.0072447685784698,1.0071540642302577
0.8855155261405262,1.0,0.9913229131979132,1.0,1.0,1.0,0.9916645854145855,0.9879096597846598
0.9098997277559996,1.0,0.9967858155522112,1.0,1.0,1.0,0.9989748714623647,0.9984851098592779
0.8893940953653802,1.0,0.9982290632529753,1.0,1.0,1.0,1.0011288631283992,1.0011951642085832
0.8846145442750132,1.0,0.992166347057212,1.0,1.0,1.0,0.9964756124820797,0.9958268697153094
0.8915742951727134,1.0,1.0039769489593793,1.0,1.0,1.0,1.0097074865004207,1.0059815347461538
0.6707698717335774,1.0,0.9988457387954705,1.0,1.0,1.0,0.9998565710929282,0.9986408403567966
0.6553575175831093,1.0,0.9979963039931765,1.0,1.0,1.0,0.9979759962633776,0.9978879961009158
0.650549784780582,1.0,0.9990677131201194,1.0,1.0,1.0,0.9993255797039162,0.9999272683994419
0.6380798251762669,1.0,1.0001374400417817,1.0,1.0,1.0,1.0005497601671272,0.9996563998955456
0.6231718199715257,1.0,0.9989305104258205,1.0,1.0,1.0,1.0002588573491646,1.000388286023747
0.6607372976677318,1.0,1.0011918329646101,1.0,1.0,1.0,1.0007746914269964,1.0010875475802066
0.6581704952267303,1.0,0.998747016706444,1.0,1.0,1.0,0.9987321002386634,0.9990602625298329
0.6390261046272906,1.0,1.0011274192538155,1.0,1.0,1.0,1.0005985065174576,1.000285334502509
0.6469641094894303,1.0,1.0004600396227676,1.0,1.0,1.0,1.0004748796105987,0.9994731804319921
0.6068553564825708,1.0,0.9996840229923695,1.0,1.0,1.0,0.9980906921241051,0.9999731083397762
0.6688362852717354,1.0,1.0008216041484275,1.0,1.0,1.0,0.9999797966193008,1.0039868004579433
0.615665000609533,1.0,0.9993112275996586,1.0,1.0,1.0,0.9995062781909058,1.0004449591612823
0.738596833764501,1.0,1.0032052846520558,1.0,1.0,1.0,1.0060200777728967,1.004092025837523
0.5155377997682089,1.0,1.0005293304805207,1.0,1.0,1.0,1.0065135508603014,1.0014988410448427
0.6007800142170079,1.0,0.9995517159672369,1.0,1.0,1.0,0.9989945629550885,0.9986359357288779
0.6018662091306602,1.0,0.9995582558146978,1.0,1.0,1.0,0.9988284175955032,0.9990076761054809
0.5428906630205557,1.0,1.0020799054483094,1.0,1.0,1.0,1.002583949387036,1.0027635512502606
0.9605105455677485,1.0,0.9998910421044439,1.0,1.0,1.0,0.9973694450930034,0.999050509767297
0.9642284450412733,1.0,0.9991350369287886,1.0,1.0,1.0,1.0014771515462695,1.0226746711955448
0.9558960862551998,1.0,0.9997113507088886,1.0,1.0,1.0,0.9997622888190848,0.9980388827574497
0.9536797289078113,1.0,1.0038230949691545,1.0,1.0,1.0,0.9986706056129985,0.9996350682074897
0.9362709177645846,1.0,1.004598543420718,1.0,1.0,1.0,0.9993494743453619,1.0005682752845115
0.9556629224860589,1.0,0.999573264669931,0.9998553439559088,1.0,1.0,0.9989223124715209,0.9998553439559088
0.9344083392470586,1.0,0.9902915516223485,0.9969407653453715,1.0,1.0,0.9997077924014097,1.0001789026113819
